Year,Film,Song
2010,Toy Story 3,We Belong Together
2010,127 Hours,If I Rise
2010,Country Strong,Coming Home
2010,Tangled,I See the Light
2011,The Muppets,Man or Muppet
2011,Rio,Real in Rio
2012,Skyfall,Skyfall
2012,Chasing Ice,Before My Time
2012,Les Misérables,Suddenly
2012,Life of Pi,Pi's Lullaby
2012,Ted,Everybody Needs a Best Friend
2013,Frozen,Let It Go
2013,Despicable Me 2,Happy
2013,Her,The Moon Song
2013,Mandela: Long Walk to Freedom,Ordinary Love
2014,Selma,Glory
2014,Begin Again,Lost Stars
2014,Beyond the Lights,Grateful
2014,Glen Campbell: I'll Be Me,I'm Not Gonna Miss You
2014,The Lego Movie,Everything Is Awesome
2015,Spectre,Writing's on the Wall
2015,Fifty Shades of Grey,Earned It
2015,The Hunting Ground,Til It Happens to You
2015,Racing Extinction,Manta Ray
2015,Youth,Simple Song #3
2016,La La Land,City of Stars
2016,Jim: The James Foley Story,The Empty Chair
2016,La La Land,Audition
2016,Moana,How Far I'll Go
2016,Trolls,Can't Stop the Feeling!
2017,Coco,Remember Me
2017,Call Me by Your Name,Mystery of Love
2017,The Greatest Showman,This Is Me
2017,Marshall,Stand Up for Something
2017,Mudbound,Mighty River
2018,A Star Is Born,Shallow
2018,The Ballad of Buster Scruggs,When a Cowboy Trades His Spurs for Wings
2018,Black Panther,All the Stars
2018,Mary Poppins Returns,The Place Where Lost Things Go
2018,RBG,I'll Fight
2019,Rocketman,(I'm Gonna) Love Me Again
2019,Breakthrough,I'm Standing with You
2019,Frozen II,Into the Unknown
2019,Harriet,Stand Up
2019,Toy Story 4,I Can't Let You Throw Yourself Away
